Region,Country,Pop,,Mountains
NA,Alaska,740K,,
,Canada,41.3M,,"198,333km^2 (third of the rockies)"
,Greenland,57K,Total 42.1M,
,,,,
USA,USA -Alaska,330.8M,,396666 (2/3 rockies)
,,,,"200,000"
CA,Central America,183.4M,,
,,,,
SA North,Columbia,52.9M,,
,Venezuela,28.4M,,
,Guyana,831K,,
,Suriname,634K,,
,Cayenne,66K,,
,Brazil,212M,Total 294.8M,
,,,,
SA South,,123.2M,,1.7M
,,,,
North Europe,,109.5M,,
,,,,
Western Europe,,199.8M,,"133,333"
,,,,"30,000"
Eastern Europe,,140.2M,,66666
,,,,
RU west,,114.8M,,"300,000"
,,,,"220,000"
RU East,,28.7M,,
,,,,
Saudi Arabia And Co,,392.3M,,
,,,,
The Stans,,378.4M,,
,,,,
India and Co,,1746M,,"595,000"
,,,,"74,000"
East Asia,,1842M,,"400,000"
,,,,
South Asia,,458.1M,,
,,,,
Oceana,,33.4M,,
,,,,
Antarctica ,,44M Penguins,,
,,,,
North Africa,,642.9M,,"1,600,000"
,,,,
East Africa,,294.8M,,
,,,,
South africa,,311.2M,,
